ProductID,ProductName,Weight_KG,RequiredStrength_Level,FragilityLevel,MoistureRequired,OxygenSensitivity,ShippingDistance_KM,ShelfLife_Months,PreferredBiodegradable,PreferredRecyclable,MaxBudgetPerUnit_USD,logistics_risk,sustainability_pref_score,ProductCategory_Bakery & Snacks,ProductCategory_Beverages,ProductCategory_Chilled & Fresh,ProductCategory_Condiments & Sauces,ProductCategory_Confectionery,ProductCategory_Fresh Produce,ProductCategory_Frozen Food,ProductCategory_Grains & Staples,ProductCategory_Health & Wellness,ProductCategory_Milk & Dairy,ProductCategory_Oils & Fats,ProductCategory_Pulses & Lentils,ProductCategory_Ready-to-Eat,ProductCategory_Snacks & Nuts,ProductCategory_Staples & Seasoning,ProductCategory_Sweets & Desserts
1,UHT Milk 1L,0.1998399679935987,0.8000000000000002,0.25,1.0,0.75,0.1724137931034483,0.16201117318435757,0.0,0.0,0.013422818791946307,0.0945945945945946,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
2,Fresh Toned Milk 500ml,0.09981996399279856,0.8000000000000002,0.25,1.0,0.75,0.034482758620689655,0.008379888268156424,0.0,0.0,0.005369127516778522,0.013513513513513514,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
3,Plain Yogurt Cup 150g,0.029805961192238446,0.4,0.5,0.875,0.625,0.05747126436781609,0.0223463687150838,0.0,0.0,0.003355704697986576,0.0472972972972973,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
4,Flavoured Yogurt Cup 100g,0.01980396079215843,0.4,0.5,0.875,0.625,0.05747126436781609,0.0223463687150838,0.0,0.0,0.005369127516778522,0.0472972972972973,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
5,Greek Yogurt Cup 100g,0.01980396079215843,0.4,0.5,0.875,0.625,0.05747126436781609,0.036312849162011177,0.0,0.0,0.008053691275167784,0.0472972972972973,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
6,Cheddar Cheese Block 200g,0.03980796159231847,0.6,0.5,0.75,0.75,0.26436781609195403,0.16201117318435757,0.0,1.0,0.016778523489932883,0.22972972972972974,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
7,Cheese Slices 200g,0.03980796159231847,0.6,0.5,0.75,0.75,0.26436781609195403,0.16201117318435757,0.0,1.0,0.01879194630872483,0.22972972972972974,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
8,Butter Brick 100g,0.01980396079215843,0.4,0.25,0.875,0.75,0.1724137931034483,0.16201117318435757,0.0,1.0,0.006711409395973155,0.0945945945945946,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
9,Ghee Jar 500g,0.09981996399279856,0.6,0.5,0.75,0.625,0.3333333333333333,0.3296089385474861,0.0,1.0,0.033557046979865765,0.29054054054054057,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
10,Flavoured Milk 200ml,0.03980796159231847,0.4,0.25,0.875,0.75,0.12643678160919541,0.0782122905027933,0.0,0.0,0.010067114093959731,0.06756756756756757,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
